title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Banditry, Sokoto","Bandits allegedly loyal to Bello Jurji, a notorious bandit, killed 2 people and abducted 10 women and a man. They also injured 2 people.",2025-11-19T23:00:00.000Z,Kurawa Community,2,crime,"Other newspaper 3 (2 ) , Daily Trust (2 )",Sabon Birni
"Banditry, Kwara",Bandits killed 3 people who were at their farm to retrieve harvested rice. They also kidnapped 4 rice farmers. One of the dead victims was a vigilante.,2025-11-18T23:00:00.000Z,Bokungi,3,crime,Daily Trust (3 ),Edu
"Boko Haram/ISWAP Attack, Yobe",Suspected Islamic State West African Province (ISWAP) members killed a police officer during an attack on a police formation. They also set ablaze two patrol vehicles and took one away.,2025-11-18T23:00:00.000Z,Geidam,1,"political issue, religious issue",Daily Trust (1 ),Geidam
"Banditry, Kwara","Bandits killed 3 worshippers during an attack on a church. Over 30 others were kidnapped, while others were injured.",2025-11-17T23:00:00.000Z,"Christ Apostolic Church (CAC), Oke Isegun in Eruku",3,crime,"Daily Trust (3 ) , The Guardian (5 ) , Other newspaper 3 (2 )",Ekiti LGA
"Banditry, Kebbi","School Attack: Gunmen raided the Government Comprehensive Girls Secondary School, killed the Vice Principal, Hassan Yakubu Makuku, and abducted dozens of students.",2025-11-16T23:00:00.000Z,Maga,1,crime,"Daily Trust (1 ) , Vanguard (1 ) , The Guardian (1 )",Wasagu/Danko
"Boko Haram Attack, Borno",Boko Haram reportedly killed 4 civilians and 4 vigilantes. The date and location were not reported in the source. It is therefore assumed that it occurred in Bama town and was backdated by 2 days from its report.,2025-11-16T23:00:00.000Z,Mayenti,8,"political issue, religious issue","The Punch (8 ) , Other newspaper 3 (8 )",Bama
"Bandits Kill Man, Kaduna","Church Attack: Bandits abducted a Catholic priest, Reverend Father Markus Samari and killed one Emmanuel Yaro. The father was whisked away at gunpoint shortly after he returned from church.",2025-11-15T23:00:00.000Z,Kuse-Gudu community,1,crime,"Daily Trust (1 ) , Other newspaper 2 (1 )",Kagarko
"Banditry, Zamfara","Bandits killed Alhaji Umar S-Fada, a chieftain of the All Progressives Congress (APC). He was attacked while travelling to Kaduna State. 3 people also lost their lives in the attack, while 64 others were kidnapped.",2025-11-14T23:00:00.000Z,"Fegi, Near Gidan Dawa",3,crime,"Nigerian Tribune (1 ) , Daily Trust (4 )",Tsafe
"Soldiers Kill Gunman, Imo","Troops of Operation Udo Ka killed a gunman and arrested others in the Southeast. It is assumed the incident occurred in Imo State, where clashes between government security forces and unknown gunmen are rampant. It is assumed that the incidents occurred on November 14, 2025, and in the Municipal area, since the locations were not reported.",2025-11-13T23:00:00.000Z,Owerri,1,crime,"The Nation (1 ) , Vanguard (1 )",Owerri-Municipal
"Banditry, Kwara","Policemen, with the help of vigilantes, killed a bandit during an operation. Arms and ammunition were also rescued.",2025-11-12T23:00:00.000Z,Adekanbi village near Bode Saadu,1,crime,Daily Trust (1 ),Moro
"Banditry, Kebbi","Police operatives killed one of the eight bandits who invaded the residence of Alhaji Sani. Two Kidnapped victims were rescued, while 2 suspects were arrested.",2025-11-11T23:00:00.000Z,Botoro Gadi,1,crime,"Vanguard (1 ) , The Punch (1 ) , Daily Trust (1 )",Maiyama
"Boko Haram Kill Farmers, Borno",Boko Haram killed 4 farmers harvesting crops on their farms. They also abducted some residents in nearby communities. This event is backdated by 2 days as no specific date was reported.,2025-11-11T23:00:00.000Z,Kwam village near the Dille,4,"political issue, religious issue","Daily Trust (4 ) , Other newspaper 2 (4 ) , Vanguard (4 )",Askira/Uba
"Soldiers vs Bandits, Benue","Troops of Operation Whirl Stroke (OPWS) reportedly killed a suspected bandit during a raid on a criminal hideout. They also recovered 2 AK-47 rifles, one G3 rifle, five AK-47 magazines, one G3 magazine, one hand grenade, two BAOFENG radios, 162 rounds of 7.62mm special ammunition, and a motorcycle.",2025-11-10T23:00:00.000Z,Mbagen,1,crime,"Daily Trust (1 ) , Vanguard (1 ) , Other newpapers 1 (1 )",Ukum
"Soldiers vs Boko Haram, Borno","Troops of Operation Hadin Kai, in conjunction with the Civilian Joint Task Force, reportedly killed 8 Boko Haram/ISWAP insurgents and recovered arms and ammunition.",2025-11-10T23:00:00.000Z,Yanaga Ari,8,"political issue, religious issue",The Punch (8 ),Mafa
"Soldiers vs Bandits, Kwara","Troops of Operation Whirl Stroke killed some bandits in operations in the North Central. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Ilorin,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Ilorin-South
"Cult Violence, Osun",Four people were killed in related cult incidents. The crisis started after a cultist was killed during his wedding. His members retaliated by killing 3 rival members. Police arrested 14 suspected cultists in connection with the killings.,2025-11-10T23:00:00.000Z,Ile-Ife,4,crime,Nigerian Tribune (4 ),Ife Central
"Soldiers vs Bandits, Nasarawa","Troops of Operation Whirl Stroke killed some bandits in operations in the North Central. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Lafia,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Lafia
"Soldiers vs Bandits, Taraba","Troops of Operation Whirl Stroke killed some bandits in operations in the North Central. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Jalingo,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Jalingo
"Banditry, Sokoto","Bandits suspected to be Lakurawa fighters raided a community and killed 4 people, including a pregnant woman. Many others sustained gunshot injuries.",2025-11-09T23:00:00.000Z,Alkalije village,5,crime,"Daily Trust (5 ) , The Punch (5 ) , Vanguard (5 )",Yabo
"Soldiers vs Bandits, Kogi","Troops of Operation Whirl Stroke killed some bandits in the North Central. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Lokoja,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Lokoja
"Banditry, Nasarawa",Bandits killed 3 youths who were sent on an errand by the elders of the clan to inform a family of the death of their member. Another youth was kidnapped by the gunmen.,2025-11-09T23:00:00.000Z,"Gidan-Raid Road, Kwara",3,crime,Vanguard (3 ),Keana
"Soldiers vs Bandits, Kaduna","Troops of Operation Enduring Peace killed some bandits in Plateau and Kaduna states. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Kaduna,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Kaduna North
"Soldiers vs Bandits, Plateau","Troops of Operation Enduring Peace killed some bandits in Plateau and Kaduna states. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Jos,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Jos South
"Banditry, Kaduna","Bandits killed 4 people and kidnapped 12 others, including Rev. Istifanus Dunga of the Evangelical Church Winning All (ECWA). The victims were young men aged between 27 and 30.",2025-11-09T23:00:00.000Z,"Jantsauni, Mai Doki, and Maiyamma",4,crime,Other newspaper 3 (4 ),Lere
"Banditry, Katsina",2 people who were protesting the murder of a resident were shot dead by security operatives. They were killed when the operatives were trying to disperse them. 2 others were injured.,2025-11-09T23:00:00.000Z,"Danjanku, Dantashi, and Dayi communities",3,crime,"Daily Trust (3 ) , Vanguard (3 )",Malumfashi
"Banditry, Kaduna",NAF neutralised an unspecified number of bandits during an operation. The victims were fleeing on their motorcycles when they were intercepted. This incident is backdated by 2 days since no date was reported. It is assumed that about 5 bandits were killed.,2025-11-08T23:00:00.000Z,Birni-gwari-Funtua axis,5,crime,Nigerian Tribune (5 ),Birnin-Gwari
"Soldiers vs Bandits, Benue","Troops of Operation Whirl Stroke killed some bandits in operations in the North Central. It is assumed that 5 gunmen were killed in each state. It is also assumed that the incidents happened between November 10-14, 2025. Since the locations were not reported, this event is localized in the state capital.",2025-11-09T23:00:00.000Z,Makurdi,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Makurdi
"NAF vs Boko Haram, Borno",NAF killed scores of Boko Haram/ISWAP terrorists and recovered some arms. It is assumed that at least 2 scores (40) of insurgents died in the operation.,2025-11-08T23:00:00.000Z,"Mallam Fatori, Shuwaram",40,"political issue, religious issue","Other newspaper 2 (40 ) , Nigerian Tribune (40 ) , Vanguard (40 )",Abadam
"Soldiers vs Bandits, Katsina",Troops under Operation Fasan Yamma killed several bandits during a clearance operation. They also destroyed key bandit's logistics hubs. It is assumed that at least 10 bandits were killed in the operation.,2025-11-08T23:00:00.000Z,Zango Hill,10,crime,Vanguard (10 ),Kankara
"Boko Haram Attack, Borno","The Islamic State West African Province (ISWAP) killed 2 army officers and 2 CJTF members in an ambush. The officers were returning from an operation when they were attacked. The brigadier commander, General M Uba, who led the operation, was reportedly abducted and killed a few days later.",2025-11-14T23:00:00.000Z,Wajoriko community,5,"political issue, religious issue","The Guardian (4 ) , Daily Trust (5 ) , Other newspaper 2 (5 ) , Other newspaper 3 (5 )",Damboa
"Banditry, Niger","Bandits raided some communities, kidnapped 42 residents and killed 16 vigilantes. The victims were ambushed during the rescue of some kidnapped victims. Many of the vigilantes were also injured.",2025-11-08T23:00:00.000Z,Dutsen Magaji and Magama villages,16,crime,Daily Trust (16 ),Mashegu
"Soldiers vs Boko Haram, Borno",Troops of 192 Battalion killed 3 ISWAP/Boko Haram fighters and recovered an AK-47 rifle with five rounds of ammunition. This event is backdated by 2 days since no date was reported.,2025-11-07T23:00:00.000Z,Gwoza–Limankara axis,3,"political issue, religious issue","Other newspaper 3 (3 ) , Vanguard (3 )",Gwoza
"Boko Haram vs ISWAP, Borno","Supremacy clashes between Boko Haram and the Islamic State of West African Province (ISWAP) claimed about 200 lives. ISWAP reportedly suffered more fatalities than Boko Haram. Over the years, both groups have engaged in power tussles and territorial control.",2025-11-08T23:00:00.000Z,"Toumbun Gini, Dogon Chiku in the Lake Chad region",177,"political issue, religious issue","Other newspaper 2 (204 ) , Nigerian Tribune (200 ) , Vanguard (100 ) , Other newspaper 3 (204 )",Abadam
"Soldiers vs Bandits, Kaduna",Troops of Operation ENDURING PEACE killed 2 bandits who recently attacked some communities in the area. This event is backdated by 2 days since no date was reported.,2025-11-07T23:00:00.000Z,Kauru,2,crime,"Other newspaper 3 (2 ) , Vanguard (2 )",Kauru
"Banditry, Katsina","Bandits killed 2 brothers, Alhaji Bishir and Alhaji Surajo, and kidnapped many residents during a raid. Both victims were regarded as pillars of leadership and moral guidance in the community.",2025-11-05T23:00:00.000Z,Doguwar Dorawa,2,crime,Daily Trust (2 ),Bakori
"Soldiers vs Bandits, Niger","Troops of Operation FANSAN YAMMA killed a terrorist scout and recovered a motorcycle, mobile phone, and other operational items. This event is backdated by 2 days since no date was reported. It is assumed that the incident happened in the state capital since no location was reported.",2025-11-07T23:00:00.000Z,Minna,1,crime,"Other newspaper 3 (1 ) , Vanguard (1 )",Chanchaga
"Soldiers vs Boko Haram, Borno","Troops of 25 Brigade, Damboa, killed an ISWAP/Boko Haram insurgent who tried to infiltrate the troops’ location. This event is backdated by 2 days since no date was reported.",2025-11-07T23:00:00.000Z,Damboa,1,"political issue, religious issue","Other newspaper 3 (1 ) , Vanguard (1 )",Damboa
"Banditry, Katsina","Two elderly community leaders, Alhaji Bishir and his brother, Alhaji Surajo, were killed, while several residents were abducted as bandits invaded their community with sophisticated weapons.",2025-11-03T23:00:00.000Z,Doguwar Šorawa,2,crime,Vanguard (2 ),Safana
"Banditry, Sokoto","Armed bandits believed to be loyal to notorious kingpin, Bello Turji, killed 5 women and abducted 9 others. The attackers raided the community on motorcycles.",2025-11-06T23:00:00.000Z,Bargaje,5,crime,"The Punch (5 ) , Other newspaper 2 (5 )",Isa
"Boko Haram Attack, Borno","Soldiers, with help from the Air Force and CJTF, repelled a Boko Haram attack and killed 6 insurgents. Follow-up strikes by NAF further killed scores (assuming at least 40) of the insurgents. Arms and ammunition were also recovered.",2025-11-03T23:00:00.000Z,Malam Fatori,26,"political issue, religious issue","Daily Trust (46 ) , Other newspaper 2 (6 )",Abadam
"Bandits vs Politician's Convoy, Niger","Bandits suspected to be Lakurawa terrorists ambushed the convoy of Hon. Jafaru Mohammed Ali, a member representing Agwara/Borgu Federal Constituency, killing about 6 soldiers and injuring others.",2025-11-03T23:00:00.000Z,Kuble community along Babanna road.,5,crime,"Other newpapers 1 (6 ) , Daily Trust (2 ) , The Guardian (6 ) , Other newspaper 3 (6 )",Borgu
"Soldiers vs Bandits, Sokoto","Troops of Operation Fansan Yamma killed several bandits in the North West. Some of the incidents within the timeframe in Katsina and Niger were already captured. This event assumes that soldiers killed 5 bandits and rescued some kidnapped victims in the state. It is also assumed that the incidents happened within the first 7 days of the reported timeline (November 3 - 10, 2025).",2025-11-02T23:00:00.000Z,Sokoto,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Sokoto South
"Soldiers vs Boko Haram, Adamawa","Troops of Operation Hadin Kai killed several Boko Haram/ISWAP terrorists in Borno and Adamawa states. The incidents in Borno State within the timeframe were already captured. This event assumes that no fewer than 10 people were killed during the encounter between soldiers and the insurgents in Adamawa State. Since no location was reported, it is considered that the incident occurred in Yola. The troops also apprehended 45 terrorists’ informants, collaborators and logistics suppliers, and rescued a kidnapped victim.",2025-11-02T23:00:00.000Z,Yola,10,"political issue, religious issue","The Nation (10 ) , Daily Trust (10 ) , Vanguard (10 )",Yola South
"Soldiers vs Bandits, Kebbi","Troops of Operation Fansan Yamma killed several bandits in the North West. Some of the incidents within the timeframe in Katsina and Niger were already captured. This event assumes that soldiers killed 5 bandits and rescued some kidnapped victims in the state. It is also assumed that the incidents happened within the first 7 days of the reported timeline (November 3 - 10, 2025).",2025-11-02T23:00:00.000Z,Birnin-Kebbi,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Birnin-Kebbi
"Gunmen Attack, Plateau","A 28-year-old man, identified as Joseph Dauda Mwanti, was killed by suspected bandits, while a 33-year-old Joshua Mwanvwang was injured.",2025-11-02T23:00:00.000Z,Wereng Community,1,crime,The Punch (1 ),Riyom
"Soldiers vs Bandits, Kano","Troops of Operation Fansan Yamma killed several bandits in the North West. Some of the incidents within the timeframe in Katsina and Niger were already captured. This event assumes that soldiers killed 5 bandits and rescued some kidnapped victims in the state. It is also assumed that the incidents happened within the first 7 days of the reported timeline (November 3 - 10, 2025).",2025-11-02T23:00:00.000Z,Kano,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Kano Municipal
"Soldiers vs Bandits, Zamfara","Troops of Operation Fansan Yamma killed several bandits in some states in the North West. Some of the incidents within the timeframe in Katsina and Niger were already captured. This event assumes that soldiers killed 5 bandits and rescued some kidnapped victims in the state. It is also assumed that the incidents happened within the first 7 days of the reported timeline (November 3 - 10, 2025).",2025-11-02T23:00:00.000Z,Gusau,5,crime,"The Nation (5 ) , Daily Trust (5 ) , Vanguard (5 )",Gusau
"Fualni Herdsmen Attack, Plateau",A farmer identified as Bitrus Dakwan was killed in an attack by suspected Fulani herdsmen who invaded a community and shot sporadically.,2025-11-01T23:00:00.000Z,"Kubon community, Kombun District",1,"cattle grazing, land issue",The Punch (1 ),Mangu
"Market Crisis, Rivers",A butcher identified as Ejike was attacked and killed by a group of meat sellers from the North following a disagreement over N500. A man who tried to rescue him was also stabbed in the ribs.,2025-11-01T23:00:00.000Z,"Obio/Akpor International Market, popularly called Amaechi Market",1,market issue,The Punch (1 ),Obio/Akpor
"Cult Crisis, Ebonyi","Two young men identified as Ifeanyi, a barber and alleged member of the Neo Black Movement (NBM), also known as Aye, Nweke Obumneme Emmanuel, a Keke rider, were killed by suspected members of the Vikings confraternity.",2025-10-31T23:00:00.000Z,Oriuzor community,2,crime,"The Nation (2 ) , Nigerian Tribune (2 ) , Other newspaper 2 (2 )",Ezza North
"Fulani Herdsmen Attack, Benue","Suspected Fulani herders killed 4 herders who were working in their farmlands. Their corpses were found with several machete cuts. Among the victims was a barbing salon operator, identified as Mr. Thomas Edeh. Residents were displaced, while some were declared missing.",2025-11-03T23:00:00.000Z,Rijo-Utonkon,4,"cattle grazing, land issue","Other newspaper 3 (4 ) , Vanguard (4 )",Ado
"Fulani Herdsmen Attack, Benue","Suspected herdsmen killed a community leader and former LGA Councillor, Mr. Atindiga Tsebee, in an ambush. He was returning from a security meeting convened by the state government to address rising insecurity and attacks in the area.",2025-10-31T23:00:00.000Z,"Ayilamo–Anyiin road near Tsukwa village,",1,"cattle grazing, land issue","Vanguard (1 ) , Other newspaper 3 (1 ) , Other newpapers 1 (1 )",Logo
"Banditry, Kano",Bandits killed 3 residents and kidnapped 3 others after their efforts to attack some communities in a nearby LGA were foiled by security operatives. The attackers were believed to have come from Katsina and Zamfara states. The state government had notified the Federal Government of the infiltration of border communities in the state by bandits from other states.,2025-10-31T23:00:00.000Z,Shanono,24,crime,"Other newspaper 3 (25 ) , Vanguard (25 ) , Other newpapers 1 (22 ) , This Day (22 )",Shanono
"Communal Crisis, Delta","49-year-old Jerry Aduara, the chairman of an Urhobo vigilante group, was killed by Itsekiri militias while on a peace mission.",2025-10-30T23:00:00.000Z,Odion Road,1,crime,The Nation (1 ),Warri South
"Banditry, Sokoto","The acting village head, Hussaini Alhaji Yawalle, and two other villagers were killed while several residents were abducted, and over 40 cattle were rustled by bandits. Security operatives rescued 6 kidnapped victims.",2025-10-29T23:00:00.000Z,Kurawa village,3,crime,"Daily Trust (3 ) , Nigerian Tribune (3 ) , Other newspaper 2 (3 )",Sabon Birni
"Kidnap Victim, Niger","Bandits killed a kidnapped victim, Usman Buhari, after collecting N70 million ransom from his family. He reportedly suffered torture from his abductors. It is assumed that he was killed a month after his abduction on September 29, 2025.",2025-10-28T23:00:00.000Z,along the Mokwa–New Bussa Road,1,crime,The Guardian (1 ),Borgu
"Troops Kill Boko Haram, Borno","Troops of 192 Battalion, in collaboration with the Civilian Joint Task Force (CJTF), launched a well-coordinated offensive against ISWAP and Jama’at Ahl as-Sunnah (JAS) fighters and neutralised two terrorists.",2025-10-31T23:00:00.000Z,Hudugum village,2,"political issue, religious issue","The Nation (2 ) , Nigerian Tribune (2 )",Gwoza
"Leadership Tussle, Rivers","Mr. Paul Oduveh was stabbed to death during a youth leadership crisis. Two groups laid claim to the exalted position, with their supporters solidly behind them. Angry youths allegedly set fire to the palace of the community’s traditional ruler, Eze Christian after the news of the victims' death broke out. This incident is backdated by 2 days since no date was reported.",2025-10-28T23:00:00.000Z,Rumuji,1,political issue,"Other newspaper 3 (1 ) , Vanguard (1 )",Emuoha
"Bandits Kill Pastor, Kaduna","Reverend Yahaya Kambasaya, the pastor of The United Church of Christ in Nigeria (UCCN), also known as HEKAN, was killed while taking refuge in the farm. Several villagers were also abducted.",2025-10-27T23:00:00.000Z,Farin Dutse,1,crime,"Daily Trust (1 ) , Other newspaper 2 (1 )",Kauru
"Leadership Tussle, Taraba","Two people died in a violent clash over the leadership of the Central Jummat Mosque. The crisis stemmed from a disagreement within the Muslim community over who should assume the position of Imam of the mosque. Many people were injured, while houses and shops were destroyed.",2025-10-27T23:00:00.000Z,Donga Chiefdom,2,"political issue, religious issue","Daily Trust (2 ) , Other newspaper 2 (2 )",Donga
"Leadership Tussle, Enugu","2 brothers, Chukwudi and Onyekachi Alum, were killed over a community chairmanship dispute. Several houses, vehicles and other properties were set ablaze or destroyed during the crisis. About 27 people were arrested in connection with the incident.",2025-10-28T23:00:00.000Z,Umuchigbo-Nike,2,political issue,"Other newspaper 2 (2 ) , The Nation (2 ) , The Punch (2 )",Enugu East
"Lakurawa/Fulani Attack, Kebbi","Ten Fulani Herders were killed, and several others were injured in a reprisal attack for the killing of a vigilante member by the Lakurawa bandits. It was erroneously believed that the Fulani masterminded the killing, prompting residents to raid their settlement.",2025-10-25T23:00:00.000Z,Tilli community,10,crime,"Vanguard (10 ) , Daily Trust (10 ) , Other newspaper 2 (10 )",Bunza
"Soldiers vs Boko Haram, Borno",Troops of Operation Hadin Kai of the Nigerian Military killed 10 Boko Haram insurgents who tried to infiltrate a community. Arms and ammunition were also recovered. This incident occured a few days after nay insurgents were killed in a similar circumstance (See event in IBD033595).,2025-10-24T23:00:00.000Z,Along Dikwa-Marte road,10,"religious issue, road accident",Other newspaper 3 (10 ),Dikwa
"Troops Kill Boko Haram, Borno",The troops of the Operation Hadin Kai killed 10 Boko Haram insurgents who attempted to infiltrate a community.,2025-10-24T23:00:00.000Z,Gamboru Ngala from the Flatari axis,10,"political issue, religious issue",Daily Trust (10 ),Ngala
"Banditry, Kaduna",Bandits raided a police station and killed 3 pupils and their teacher. Among the victims who were between the ages of 9 and 13 was Aisha. They were reportedly mistaken for being the children of police operatives.,2025-10-22T23:00:00.000Z,Kuyello,4,crime,The Nation (4 ),Birnin-Gwari
"Soldiers vs Boko Haram, Yobe","Boko Haram/ISWAP coordinated attacks on military locations were foiled by troops of Joint Task Force, North East ‘Operation HADIN KAI’ (OPHK). About 17 insurgents were killed, including some of their commanders. Similar attacks in Borno State were foiled, with many insurgents also killed (See event in IBD033595).",2025-10-22T23:00:00.000Z,Katarko,17,"political issue, religious issue","Daily Trust (17 ) , Other newspaper 2 (17 ) , Vanguard (17 )",Gujba
"Soldiers vs Bandits, Kebbi","Soldiers intercepted and killed about 100 bandits who were crossing into Kebbi State from Sokoto. The operation was reportedly successful with support from the state government, which provided the security operatives with 100 Hilux vehicles and 5,000 motorcycles.",2025-10-21T23:00:00.000Z,Around Makurdi village,93,crime,"Other newpapers 1 (100 ) , Other newspaper 3 (100 ) , Daily Trust (80 )",Ngaski
"Soldiers vs Boko Haram, Borno","Troops of Operation HADIN KAI (OPHK) foiled Boko Haram/ISWAP attacks and killed over 50 of them in multiple locations across Borno and Yobe States. While 17 insurgents were killed in Yobe State as reported by Daily Trust, 33 others were assumed to have died in Borno State. Among the victims were 5 ISWAP commanders identified as Ari Kolo, Ya Muhammad, Abu Aisha, Hamzalah, and Abu Rijal. Also see the event in IBD033601.",2025-10-22T23:00:00.000Z,"Dikwa, Mafa, Gajibo, and Katarko",33,"political issue, religious issue","Vanguard (33 ) , Daily Trust (33 ) , Other newspaper 3 (33 )",Dikwa
"Gunmen Attack, Plateau",Gunmen suspected to be Fulani herdsmen killed two people and injured another. One of the victims was identified as Mr. Pam Choji.,2025-10-20T23:00:00.000Z,Daron village in Gyel District,2,"cattle grazing, land issue","The Guardian (2 ) , Nigerian Tribune (2 ) , Other newspaper 3 (2 ) , The Punch (2 )",Jos South
"Banditry, Kaduna","Bandits raided a community and killed Mrs. Agnes Zafaniya. They also abducted many others, while some were injured. Some of the abducted victims were rescued by soldiers.",2025-10-18T23:00:00.000Z,Idijiyi Unguwan Danladi Village in Kallah District,1,crime,Other newspaper 3 (1 ),Kajuru
"Banditry, Niger",Several bandits (assuming at least 20) were killed in NAF operations. They were moving a herd of rustled cattle when their convoy was reportedly hit. This incident is backdated by 2 days since no date was reported.,2025-10-17T23:00:00.000Z,"Yabawa, Bazana, Awallah, Dankolo, and Kumbashi",20,crime,"Vanguard (20 ) , The Guardian (20 )",Mariga
"Troops vs Boko Haram, Borno",Troops of 202 and 222 Battalions killed 17 Boko Haram insurgents in an ambush. They arrested 85 suspects and rescued 10 kidnapped victims.,2025-10-18T23:00:00.000Z,Goni Kurmi and Kashomri villages,17,"political issue, religious issue","The Guardian (17 ) , The Nation (17 )",Konduga
"Boko Haram Attack, Borno","Boko Haram killed an Army Commanding Officer, 6 soldiers, 2 Civilian Joint Task Force members, and 2 vigilantes in an ambush but lost over 30 fighters. The operatives were on a clearance operation when the insurgents ambushed them. A source reported that dozens of insurgents (at least 24) were killed.",2025-10-16T23:00:00.000Z,Along Bama-Kashimri village,37,"political issue, religious issue","Other newspaper 2 (41 ) , Daily Trust (35 ) , Other newpapers 1 (35 )",Bama
